"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",-0.2,0,-0.213,-0.186,-0.18,0,-0.194,-0.167
"2",-0.279,0,-0.302,-0.256,-0.251,0,-0.273,-0.228
"3",-2.27,1.712,-2.295,1.737,-2.155,1.654,-2.18,1.679
"4",-2.266,1.708,-2.29,1.731,-2.12,1.618,-2.144,1.643
