"","V1","V2","V3","V4"
"$Y$",-0.2,0,-0.213,-0.186
"$Y_M$",-0.279,0,-0.302,-0.256
"Simple",-2.27,1.712,-2.295,1.737
"Complex",-2.266,1.708,-2.29,1.731
