"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",0.23,0.18,0.22,0.03,0.35,0.24,0.34,0.05,0.47,0.31,0.46,0.09
"2",0.19,0.09,0.19,0.28,0.32,0.12,0.32,0.89,0.46,0.16,0.46,0.97
"3",0.19,0.07,0.19,0.37,0.32,0.1,0.32,0.99,0.46,0.12,0.46,1
"4",0.18,0.06,0.18,0.99,0.32,0.07,0.32,1,0.46,0.09,0.46,1
