"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",0.14,0.12,0.12,0.04,0.17,0.15,0.14,0.03,0.22,0.18,0.16,0.02
"2",0.1,0.09,0.08,0.08,0.13,0.11,0.1,0.1,0.16,0.13,0.12,0.06
"3",0.08,0.07,0.07,0.08,0.11,0.09,0.09,0.07,0.13,0.11,0.1,0.07
"4",0.07,0.06,0.06,0.09,0.09,0.08,0.07,0.12,0.11,0.09,0.08,0.1
