"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",0.24,0.18,0.23,0.03,0.35,0.24,0.34,0.05,0.48,0.32,0.47,0.1
"2",0.19,0.09,0.19,0.25,0.33,0.13,0.33,0.85,0.46,0.16,0.46,0.98
"3",0.19,0.07,0.19,0.43,0.32,0.09,0.32,0.99,0.46,0.12,0.46,1
"4",0.18,0.06,0.18,0.99,0.32,0.07,0.32,1,0.46,0.09,0.46,1
