"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",0.15,0.11,0.15,0.15,0.2,0.12,0.19,0.17,0.25,0.13,0.24,0.12
"2",0.1,0.08,0.1,0.12,0.13,0.08,0.13,0.13,0.17,0.1,0.16,0.1
"3",0.09,0.07,0.08,0.1,0.11,0.07,0.11,0.14,0.14,0.08,0.13,0.11
"4",0.07,0.06,0.07,0.14,0.1,0.06,0.09,0.13,0.12,0.07,0.11,0.17
