"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",0.12,0.11,0.11,0.08,0.16,0.14,0.13,0.1,0.21,0.17,0.16,0.07
"2",0.09,0.08,0.08,0.08,0.12,0.1,0.1,0.07,0.15,0.12,0.12,0.06
"3",0.08,0.07,0.07,0.04,0.1,0.08,0.08,0.03,0.13,0.1,0.1,0.04
"4",0.07,0.06,0.06,0.1,0.09,0.07,0.07,0.1,0.11,0.09,0.08,0.06
