"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",0.21,0.16,0.2,0.17,0.34,0.24,0.33,0.24,0.48,0.33,0.47,0.18
"2",0.19,0.09,0.19,0.43,0.33,0.13,0.33,0.87,0.47,0.18,0.47,0.95
"3",0.18,0.08,0.18,0.62,0.32,0.11,0.32,0.99,0.47,0.14,0.47,1
"4",0.18,0.06,0.18,1,0.32,0.08,0.32,1,0.47,0.11,0.47,1
