"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",0.47,0.46,0.45,0.07,0.5,0.47,0.45,0.09,0.53,0.49,0.46,0.06
"2",0.35,0.34,0.33,0.07,0.36,0.34,0.34,0.07,0.38,0.35,0.34,0.07
"3",0.27,0.26,0.26,0.04,0.28,0.26,0.26,0.04,0.3,0.27,0.27,0.03
"4",0.23,0.23,0.22,0.05,0.24,0.23,0.22,0.04,0.26,0.24,0.23,0.06
