"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",0.65,0.64,0.63,0.02,0.67,0.65,0.64,0.03,0.69,0.67,0.64,0.03
"2",0.48,0.47,0.47,0,0.5,0.48,0.47,0,0.51,0.49,0.48,0
"3",0.42,0.41,0.41,0,0.43,0.41,0.41,0,0.44,0.42,0.42,0
"4",0.36,0.35,0.35,0,0.37,0.36,0.35,0,0.38,0.36,0.36,0
